TITLE,BGG_URL,COMMENTS,LOCATION
Oase,https://boardgamegeek.com/boardgame/9027/oasis,"German copy, not language critical",R1
Advanced Squad Leader: Starter Kit #1,https://boardgamegeek.com/boardgame/9823/advanced-squad-leader-starter-kit-1,,R2
Advanced Squad Leader: Starter Kit #3,https://boardgamegeek.com/boardgame/20542/advanced-squad-leader-starter-kit-3,completely new,R2
Ambush!,https://boardgamegeek.com/boardgame/1608/ambush,,R2
Ambush! Move Out!,https://boardgamegeek.com/boardgame/1606/ambush-move-out,Expansion for Ambush!,R2
Asteroyds,https://boardgamegeek.com/boardgame/65200/asteroyds,,R2
Blockade Runner,https://boardgamegeek.com/boardgame/76207/blockade-runner,,R2
Combat Commander: Europe,https://boardgamegeek.com/boardgame/21050/combat-commander-europe,,R2
Combat Commander: Mediterranean,https://boardgamegeek.com/boardgameexpansion/24124/combat-commander-mediterranean,,R2
Combat Commander: Pacific,https://boardgamegeek.com/boardgame/28181/combat-commander-pacific,,R2
Combat Commander: Resistance!,https://boardgamegeek.com/boardgame/86957/combat-commander-resistance,completely new - Expansion for  Combat Commander: Europe and Combat Commander: Mediterranean,R2
Conflict of Heroes: Awakening the Bear! - Russia 1941-42,https://boardgamegeek.com/boardgame/24800/conflict-heroes-awakening-bear-russia-1941-42,,R2
Conflict of Heroes: Eastern Front - Solo Expansion,https://boardgamegeek.com/boardgameexpansion/142585/conflict-heroes-eastern-front-solo-expansion,,R2
Conflict of Heroes: Le Prix De L'Honneur - Campagne de Pologne 1939,https://boardgamegeek.com/boardgameexpansion/45132/conflict-heroes-price-honour-poland-1939,French with printed English rules,R2
Conflict of Heroes: Storms of Steel! - Kursk 1943,https://boardgamegeek.com/boardgame/38823/conflict-heroes-storms-steel-kursk-1943,,R2
Conquest of the Pacific,https://boardgamegeek.com/boardgameexpansion/12838/conquest-pacific,,R2
Cosmic Encounter,https://boardgamegeek.com/boardgame/15/cosmic-encounter,,R2
Cross of Iron,https://boardgamegeek.com/boardgame/2587/cross-iron,Expansion for Squad Leader,R2
Empire Builder,https://boardgamegeek.com/boardgame/168/empire-builder,,R2
Escape: Illusions - Expansion 1,https://boardgamegeek.com/boardgameexpansion/128236/escape-curse-temple-expansion-1-illusions,,R2
Fortress America,https://boardgamegeek.com/boardgame/115293/fortress-america,,R2
Les Loups-Garous,https://boardgamegeek.com/boardgame/25821/werewolves-millers-hollow,French Version of Werewolf,R1
Memoir '44,https://boardgamegeek.com/boardgame/10630/memoir-44,English Box,R2
Memoir '44: Air Pack - mightier yet,https://boardgamegeek.com/boardgameexpansion/31638/memoir-44-air-pack,,R2
Memoir '44: Breakthrough Board Maps,https://boardgamegeek.com/boardgameexpansion/68752/memoir-44-breakthrough,,R2
Memoir '44: Disaster at Dieppe,https://boardgamegeek.com/boardgameexpansion/75260/memoir-44-disaster-dieppe,Miniatures missing?,R2
Memoir '44: Eastern Front,https://boardgamegeek.com/boardgameexpansion/19245/memoir-44-eastern-front,,R2
Memoir '44: Equipment Pack,https://boardgamegeek.com/boardgameexpansion/125755/memoir-44-equipment-pack,,R2
Memoir '44: Folder full of rulebooks,n/a,Manually assembled folder with rulebooks,R2
Memoir '44: Hedgerow Hell,https://boardgamegeek.com/boardgameexpansion/37918/memoir-44-hedgerow-hell,Miniatures missing?,R2
Memoir '44: Mediterranean Theater,https://boardgamegeek.com/boardgameexpansion/38320/memoir-44-mediterranean-theater,,R2
Memoir '44: Operation Overlord,https://boardgamegeek.com/boardgameexpansion/37911/memoir-44-operation-overlord,,R2
Memoir '44: Pacific Theater,https://boardgamegeek.com/boardgameexpansion/21384/memoir-44-pacific-theater,,R2
Memoir '44: Terrain Pack,https://boardgamegeek.com/boardgameexpansion/19244/memoir-44-terrain-pack,,R2
Memoir '44: Tigers in the Snow,https://boardgamegeek.com/boardgameexpansion/41571/memoir-44-tigers-snow,Miniatures missing?,R2
Memoir '44: Two plastic bags with loose cards,n/a,Two plastic bags with loose cards for Memoir 44,R2
Memoir '44: Winter / Desert Board Map,https://boardgamegeek.com/boardgameexpansion/19374/memoir-44-winterdesert-board-map,,R2
Memoir '44: Winter Wars,https://boardgamegeek.com/boardgameexpansion/84406/memoir-44-winter-wars,,R2
Memoire '44,https://boardgamegeek.com/boardgame/10630/memoir-44,French Box with printed English rules,R2
Monopoly City,https://boardgamegeek.com/boardgame/41186/monopoly-city,,R2
Nouvelle Lune Extension n 1,https://boardgamegeek.com/boardgameexpansion/21713/werewolves-millers-hollow-new-moon,French New Moon Expansion of Werewolf,R1
O.K. Corral J. Caplanne vs P. Jumel,https://boardgamegeek.com/boardgame/111547/ok-corral,,R1
Open Fire,https://boardgamegeek.com/boardgame/1672/open-fire,completely new,R2
Space Empires: 4X,https://boardgamegeek.com/boardgame/84419/space-empires-4x,,R2
Squad Leader,https://boardgamegeek.com/boardgame/1035/squad-leader,,R2
Sylla,https://boardgamegeek.com/boardgame/35761/sylla,,R2
Trenchzone,https://boardgamegeek.com/boardgame/68387/trenchzone,,R2
Wilderness War,https://boardgamegeek.com/boardgame/1822/wilderness-war,,R2
